fold,patient,image_name,TP,FP,TN,FN,IoU,Precision,Recall,Pixel Accuracy
2,TCGA_DU_5852,TCGA_DU_5852_19950709_7.tif,0,2599,62937,0,0.0,0.0,0.0,0.960342407226416
2,TCGA_DU_5852,TCGA_DU_5852_19950709_8.tif,0,2734,62802,0,0.0,0.0,0.0,0.9582824707029788
2,TCGA_DU_5852,TCGA_DU_5852_19950709_9.tif,0,29,65507,0,0.0,0.0,0.0,0.9995574951170351
2,TCGA_DU_5872,TCGA_DU_5872_19950223_1.tif,0,3811,61725,0,0.0,0.0,0.0,0.9418487548826688
2,TCGA_DU_5872,TCGA_DU_5872_19950223_10.tif,0,3661,61875,0,0.0,0.0,0.0,0.9441375732420435
2,TCGA_DU_5872,TCGA_DU_5872_19950223_11.tif,0,3198,62338,0,0.0,0.0,0.0,0.9512023925779799
2,TCGA_DU_5872,TCGA_DU_5872_19950223_12.tif,0,3397,62139,0,0.0,0.0,0.0,0.9481658935545428
2,TCGA_DU_5872,TCGA_DU_5872_19950223_13.tif,0,2997,62539,0,0.0,0.0,0.0,0.954269409179542
2,TCGA_DU_5872,TCGA_DU_5872_19950223_14.tif,0,2029,63507,0,0.0,0.0,0.0,0.9690399169920397
2,TCGA_DU_5872,TCGA_DU_5872_19950223_15.tif,0,2845,62691,0,0.0,0.0,0.0,0.9565887451170416
2,TCGA_DU_5872,TCGA_DU_5872_19950223_16.tif,0,2327,63209,0,0.0,0.0,0.0,0.9644927978514154
2,TCGA_DU_5872,TCGA_DU_5872_19950223_17.tif,0,2668,62868,0,0.0,0.0,0.0,0.9592895507811037
2,TCGA_DU_5872,TCGA_DU_5872_19950223_18.tif,0,2319,63217,0,0.0,0.0,0.0,0.9646148681639154
2,TCGA_DU_5872,TCGA_DU_5872_19950223_19.tif,0,3228,62308,0,0.0,0.0,0.0,0.950744628906105
2,TCGA_DU_5872,TCGA_DU_5872_19950223_2.tif,0,4729,60807,0,0.0,0.0,0.0,0.927841186523296
2,TCGA_DU_5872,TCGA_DU_5872_19950223_20.tif,0,2940,62596,0,0.0,0.0,0.0,0.9551391601561043
2,TCGA_DU_5872,TCGA_DU_5872_19950223_21.tif,0,2739,62797,0,0.0,0.0,0.0,0.9582061767576663
2,TCGA_DU_5872,TCGA_DU_5872_19950223_22.tif,0,2592,62944,0,0.0,0.0,0.0,0.9604492187498535
2,TCGA_DU_5872,TCGA_DU_5872_19950223_23.tif,0,2687,62849,0,0.0,0.0,0.0,0.9589996337889162
2,TCGA_DU_5872,TCGA_DU_5872_19950223_24.tif,0,2859,62677,0,0.0,0.0,0.0,0.9563751220701666
2,TCGA_DU_5872,TCGA_DU_5872_19950223_25.tif,0,2449,63087,0,0.0,0.0,0.0,0.9626312255857906
2,TCGA_DU_5872,TCGA_DU_5872_19950223_26.tif,0,2242,63294,0,0.0,0.0,0.0,0.9657897949217277
2,TCGA_DU_5872,TCGA_DU_5872_19950223_27.tif,0,1826,63710,0,0.0,0.0,0.0,0.9721374511717267
2,TCGA_DU_5872,TCGA_DU_5872_19950223_28.tif,0,1522,64014,0,0.0,0.0,0.0,0.976776123046726
2,TCGA_DU_5872,TCGA_DU_5872_19950223_29.tif,0,1508,64028,0,0.0,0.0,0.0,0.976989746093601
2,TCGA_DU_5872,TCGA_DU_5872_19950223_3.tif,0,5380,60156,0,0.0,0.0,0.0,0.91790771484361
2,TCGA_DU_5872,TCGA_DU_5872_19950223_30.tif,0,1656,63880,0,0.0,0.0,0.0,0.9747314453123513
2,TCGA_DU_5872,TCGA_DU_5872_19950223_31.tif,0,1701,63835,0,0.0,0.0,0.0,0.974044799804539
2,TCGA_DU_5872,TCGA_DU_5872_19950223_32.tif,0,1686,63326,524,0.0,0.0,0.0,0.9662780761717276
2,TCGA_DU_5872,TCGA_DU_5872_19950223_33.tif,10,1508,62710,1308,0.003538570417538788,0.006587615283224061,0.007587253414206471,0.957031249999854
2,TCGA_DU_5872,TCGA_DU_5872_19950223_34.tif,87,1566,62036,1847,0.024857142857071836,0.05263157894705003,0.04498448810731653,0.947921752929543
2,TCGA_DU_5872,TCGA_DU_5872_19950223_35.tif,119,1591,61692,2134,0.030957336108140072,0.06959064327444685,0.052818464269627975,0.9431610107420436
2,TCGA_DU_5872,TCGA_DU_5872_19950223_36.tif,187,1623,61347,2379,0.0446407257100868,0.10331491712650102,0.07287607170665286,0.9389343261717318
2,TCGA_DU_5872,TCGA_DU_5872_19950223_37.tif,181,1583,61120,2652,0.0409873188404869,0.10260770974998522,0.06388986939617405,0.9353790283201698
2,TCGA_DU_5872,TCGA_DU_5872_19950223_38.tif,126,1434,61079,2897,0.028270136863297577,0.08076923076871302,0.04168044988408309,0.9339141845701701
2,TCGA_DU_5872,TCGA_DU_5872_19950223_39.tif,211,1540,60745,3040,0.04404091003956577,0.12050256995933466,0.06490310673618917,0.9301147460936081
2,TCGA_DU_5872,TCGA_DU_5872_19950223_4.tif,0,6354,59182,0,0.0,0.0,0.0,0.9030456542967372
2,TCGA_DU_5872,TCGA_DU_5872_19950223_40.tif,74,1395,60923,3144,0.016041621504409187,0.050374404356362326,0.022995649471650108,0.9307403564451705
2,TCGA_DU_5872,TCGA_DU_5872_19950223_41.tif,56,1378,60992,3110,0.01232394366194471,0.039051603904888064,0.01768793430190244,0.9315185546873579
2,TCGA_DU_5872,TCGA_DU_5872_19950223_42.tif,60,1415,61086,2975,0.013483146067385432,0.04067796610141913,0.019769357495816247,0.9330139160154827
2,TCGA_DU_5872,TCGA_DU_5872_19950223_43.tif,14,1157,61507,2858,0.003474807644568194,0.01195559350971857,0.004874651810567986,0.9387359619139193
2,TCGA_DU_5872,TCGA_DU_5872_19950223_44.tif,28,1340,61460,2708,0.006869479882220635,0.020467836257160324,0.010233918128617566,0.9382324218748569
2,TCGA_DU_5872,TCGA_DU_5872_19950223_45.tif,127,1540,61448,2421,0.031066536203446512,0.07618476304693352,0.0498430141285328,0.9395599365232942
2,TCGA_DU_5872,TCGA_DU_5872_19950223_46.tif,323,1608,61563,2042,0.081298766674852,0.16727084412135024,0.13657505285354515,0.944305419921731
2,TCGA_DU_5872,TCGA_DU_5872_19950223_47.tif,307,1653,61751,1825,0.0811096433287157,0.15663265306042534,0.14399624765410884,0.9469299316404806
2,TCGA_DU_5872,TCGA_DU_5872_19950223_48.tif,207,1599,62251,1479,0.06301369862994517,0.1146179401987009,0.12277580071101557,0.9530334472654797
2,TCGA_DU_5872,TCGA_DU_5872_19950223_49.tif,101,1505,62511,1419,0.033388429751955745,0.06288916562850007,0.06644736842061548,0.9553833007811042
2,TCGA_DU_5872,TCGA_DU_5872_19950223_5.tif,0,5256,60280,0,0.0,0.0,0.0,0.9197998046873597
2,TCGA_DU_5872,TCGA_DU_5872_19950223_50.tif,101,1581,62681,1173,0.03537653239917556,0.06004756242532671,0.07927786499152843,0.9579772949217289
2,TCGA_DU_5872,TCGA_DU_5872_19950223_51.tif,133,1658,62883,862,0.05013192612118307,0.07426018983766466,0.13366834170719932,0.9615478515623533
2,TCGA_DU_5872,TCGA_DU_5872_19950223_52.tif,0,1527,63534,475,0.0,0.0,0.0,0.9694519042967271
2,TCGA_DU_5872,TCGA_DU_5872_19950223_53.tif,0,1556,63980,0,0.0,0.0,0.0,0.9762573242186011
2,TCGA_DU_5872,TCGA_DU_5872_19950223_54.tif,0,1797,63739,0,0.0,0.0,0.0,0.9725799560545392
2,TCGA_DU_5872,TCGA_DU_5872_19950223_55.tif,0,1925,63611,0,0.0,0.0,0.0,0.9706268310545394
2,TCGA_DU_5872,TCGA_DU_5872_19950223_56.tif,0,2015,63521,0,0.0,0.0,0.0,0.9692535400389146
2,TCGA_DU_5872,TCGA_DU_5872_19950223_57.tif,0,2037,63499,0,0.0,0.0,0.0,0.9689178466795397
2,TCGA_DU_5872,TCGA_DU_5872_19950223_58.tif,0,2293,63243,0,0.0,0.0,0.0,0.9650115966795403
2,TCGA_DU_5872,TCGA_DU_5872_19950223_59.tif,0,2228,63308,0,0.0,0.0,0.0,0.9660034179686027
2,TCGA_DU_5872,TCGA_DU_5872_19950223_6.tif,0,5322,60214,0,0.0,0.0,0.0,0.9187927246092349
2,TCGA_DU_5872,TCGA_DU_5872_19950223_60.tif,0,2139,63397,0,0.0,0.0,0.0,0.967361450195165
2,TCGA_DU_5872,TCGA_DU_5872_19950223_61.tif,0,2442,63094,0,0.0,0.0,0.0,0.9627380371092281
2,TCGA_DU_5872,TCGA_DU_5872_19950223_62.tif,0,2153,63383,0,0.0,0.0,0.0,0.96714782714829
2,TCGA_DU_5872,TCGA_DU_5872_19950223_63.tif,0,2254,63282,0,0.0,0.0,0.0,0.9656066894529777
2,TCGA_DU_5872,TCGA_DU_5872_19950223_64.tif,0,2293,63243,0,0.0,0.0,0.0,0.9650115966795403
2,TCGA_DU_5872,TCGA_DU_5872_19950223_65.tif,0,2504,63032,0,0.0,0.0,0.0,0.9617919921873532
2,TCGA_DU_5872,TCGA_DU_5872_19950223_66.tif,0,1445,64091,0,0.0,0.0,0.0,0.9779510498045383
2,TCGA_DU_5872,TCGA_DU_5872_19950223_67.tif,0,579,64957,0,0.0,0.0,0.0,0.9911651611326613
2,TCGA_DU_5872,TCGA_DU_5872_19950223_68.tif,0,602,64934,0,0.0,0.0,0.0,0.9908142089842239
2,TCGA_DU_5872,TCGA_DU_5872_19950223_69.tif,0,1542,63994,0,0.0,0.0,0.0,0.976470947265476
2,TCGA_DU_5872,TCGA_DU_5872_19950223_7.tif,0,5073,60463,0,0.0,0.0,0.0,0.9225921630857967
2,TCGA_DU_5872,TCGA_DU_5872_19950223_70.tif,0,1092,64444,0,0.0,0.0,0.0,0.9833374023436
2,TCGA_DU_5872,TCGA_DU_5872_19950223_71.tif,0,1674,63862,0,0.0,0.0,0.0,0.9744567871092263
2,TCGA_DU_5872,TCGA_DU_5872_19950223_8.tif,0,5268,60268,0,0.0,0.0,0.0,0.9196166992186097
2,TCGA_DU_5872,TCGA_DU_5872_19950223_9.tif,0,4180,61356,0,0.0,0.0,0.0,0.9362182617186072
2,TCGA_DU_6399,TCGA_DU_6399_19830416_1.tif,0,3316,62220,0,0.0,0.0,0.0,0.9494018554686052
2,TCGA_DU_6399,TCGA_DU_6399_19830416_10.tif,0,3999,61537,0,0.0,0.0,0.0,0.9389801025389193
2,TCGA_DU_6399,TCGA_DU_6399_19830416_11.tif,0,3886,61650,0,0.0,0.0,0.0,0.9407043457029814
2,TCGA_DU_6399,TCGA_DU_6399_19830416_12.tif,0,3001,62535,0,0.0,0.0,0.0,0.954208374023292
2,TCGA_DU_6399,TCGA_DU_6399_19830416_13.tif,153,3231,61904,248,0.04212555066067697,0.0452127659573132,0.38154613465382675,0.9469146728514181
2,TCGA_DU_6399,TCGA_DU_6399_19830416_14.tif,128,2800,62012,596,0.036322360953358904,0.043715846994386215,0.1767955801080553,0.9481811523436053
2,TCGA_DU_6399,TCGA_DU_6399_19830416_15.tif,283,2748,61693,812,0.07364038511560334,0.09336852523888695,0.25844748858211464,0.9456787109373558
2,TCGA_DU_6399,TCGA_DU_6399_19830416_16.tif,52,1673,62560,1251,0.01747311827951118,0.03014492753605713,0.03990790483468989,0.9553833007811042
2,TCGA_DU_6399,TCGA_DU_6399_19830416_17.tif,121,1742,62368,1305,0.038194444444323884,0.06494900697764386,0.08485273492226611,0.9535064697264171
2,TCGA_DU_6399,TCGA_DU_6399_19830416_18.tif,170,1748,62377,1241,0.05381449825877235,0.08863399374302068,0.1204819277099895,0.954391479492042
2,TCGA_DU_6399,TCGA_DU_6399_19830416_19.tif,110,1140,62647,1639,0.038075458636074505,0.087999999999296,0.0628930817606467,0.9575958251951664
2,TCGA_DU_6399,TCGA_DU_6399_19830416_2.tif,0,6058,59478,0,0.0,0.0,0.0,0.9075622558592366
2,TCGA_DU_6399,TCGA_DU_6399_19830416_20.tif,206,1147,62445,1738,0.06664509867335282,0.15225424981410013,0.10596707818875532,0.9559783935545416
2,TCGA_DU_6399,TCGA_DU_6399_19830416_21.tif,502,1361,62173,1500,0.1492714837937875,0.26945786365931584,0.25074925074799825,0.9563446044920416
2,TCGA_DU_6399,TCGA_DU_6399_19830416_22.tif,1121,1537,62002,876,0.31720430107437125,0.421745673437089,0.5613420130167184,0.9631805419920406
2,TCGA_DU_6399,TCGA_DU_6399_19830416_23.tif,909,1242,62278,1107,0.2790055248610221,0.4225941422574496,0.4508928571406206,0.9641571044920404
2,TCGA_DU_6399,TCGA_DU_6399_19830416_24.tif,1021,1191,62371,953,0.3225908372817612,0.46157323688760593,0.517223910838312,0.9672851562498525
2,TCGA_DU_6399,TCGA_DU_6399_19830416_25.tif,1295,1350,62346,545,0.405956112851392,0.4896030245728182,0.703804347822262,0.9710845947264144
2,TCGA_DU_6399,TCGA_DU_6399_19830416_26.tif,485,1125,62776,1150,0.17572463768052274,0.3012422360229737,0.296636085625097,0.9652862548826653
2,TCGA_DU_6399,TCGA_DU_6399_19830416_27.tif,522,1246,62916,852,0.1992366412206136,0.2952488687766106,0.37991266375269356,0.9679870605467273
2,TCGA_DU_6399,TCGA_DU_6399_19830416_28.tif,451,1206,63261,618,0.19824175824088686,0.27217863608767545,0.4218896164600385,0.9721679687498517
2,TCGA_DU_6399,TCGA_DU_6399_19830416_29.tif,243,997,63835,461,0.14285714285630302,0.1959677419339035,0.34517045454055156,0.9777526855467259
2,TCGA_DU_6399,TCGA_DU_6399_19830416_3.tif,0,5752,59784,0,0.0,0.0,0.0,0.9122314453123609
2,TCGA_DU_6399,TCGA_DU_6399_19830416_30.tif,265,1206,63874,191,0.15944645005920913,0.1801495581225007,0.5811403508644487,0.9786834716795382
2,TCGA_DU_6399,TCGA_DU_6399_19830416_31.tif,12,1228,64085,211,0.008270158511314473,0.009677419354760667,0.05381165919041203,0.9780426025389133
2,TCGA_DU_6399,TCGA_DU_6399_19830416_32.tif,0,1278,64258,0,0.0,0.0,0.0,0.9804992675779755
2,TCGA_DU_6399,TCGA_DU_6399_19830416_33.tif,0,1083,64453,0,0.0,0.0,0.0,0.9834747314451625
2,TCGA_DU_6399,TCGA_DU_6399_19830416_34.tif,0,1513,64023,0,0.0,0.0,0.0,0.9769134521482885
2,TCGA_DU_6399,TCGA_DU_6399_19830416_35.tif,0,1569,63967,0,0.0,0.0,0.0,0.9760589599607886
2,TCGA_DU_6399,TCGA_DU_6399_19830416_36.tif,0,1680,63856,0,0.0,0.0,0.0,0.9743652343748513
2,TCGA_DU_6399,TCGA_DU_6399_19830416_37.tif,0,1700,63836,0,0.0,0.0,0.0,0.9740600585936015
2,TCGA_DU_6399,TCGA_DU_6399_19830416_38.tif,0,1841,63695,0,0.0,0.0,0.0,0.9719085693357893
2,TCGA_DU_6399,TCGA_DU_6399_19830416_39.tif,0,1913,63623,0,0.0,0.0,0.0,0.9708099365232894
2,TCGA_DU_6399,TCGA_DU_6399_19830416_4.tif,0,4046,61490,0,0.0,0.0,0.0,0.9382629394529819
2,TCGA_DU_6399,TCGA_DU_6399_19830416_40.tif,0,2043,63493,0,0.0,0.0,0.0,0.9688262939451647
2,TCGA_DU_6399,TCGA_DU_6399_19830416_41.tif,0,2091,63445,0,0.0,0.0,0.0,0.9680938720701648
2,TCGA_DU_6399,TCGA_DU_6399_19830416_42.tif,0,2001,63535,0,0.0,0.0,0.0,0.9694671630857896
2,TCGA_DU_6399,TCGA_DU_6399_19830416_43.tif,0,1680,63856,0,0.0,0.0,0.0,0.9743652343748513
2,TCGA_DU_6399,TCGA_DU_6399_19830416_44.tif,0,1100,64436,0,0.0,0.0,0.0,0.9832153320311
2,TCGA_DU_6399,TCGA_DU_6399_19830416_45.tif,0,1827,63709,0,0.0,0.0,0.0,0.9721221923826642
2,TCGA_DU_6399,TCGA_DU_6399_19830416_46.tif,0,1874,63662,0,0.0,0.0,0.0,0.9714050292967268
2,TCGA_DU_6399,TCGA_DU_6399_19830416_47.tif,0,1616,63920,0,0.0,0.0,0.0,0.9753417968748512
2,TCGA_DU_6399,TCGA_DU_6399_19830416_48.tif,0,1851,63685,0,0.0,0.0,0.0,0.9717559814451643
